State/UT,Seats,Electors,Quota,Difference,SC,ST,Male_t,Female_t,SC_m,ST_m,SC_f,ST_f,SC_t,ST_t
Andhra Pradesh,43,18737856,43.39902371,-0.39902371,6,3,9585927,"
9151929",1344041,408713,1278389,149422,2622430,558135
Assam,12,4942816,11.2855121,0.7144879,1,2,2720916,2221900,217943,401178,179871,348174,397814,749352
Bihar,53,22115041,50.49339541,2.50660459,9,4,11803537,10311504,1566218,"
1009650",1341688,981846,2907906,1991496
Gujrat,22,9524979,21.74757582,0.25242418,2,2,4983311,4551663,238944,718252,215516,659451,454460,1377703
Kerla,18,8003142,18.27289461,-0.27289461,2,0,3955346,4047796,418132,0,422337,0,840469,0
Madhya Pradesh,36,15874238,36.2442998,-0.2442998,5,7,8014562,7859676,1125744,1493412,1077302,1522534,2203046,3015946
Madras,41,18675436,42.64003735,-1.64003735,7,0,9261850,9413586,1499141,0,1554328,0,3053469,0
Maharashtra,44,19396233,44.28577194,-0.28577194,6,2,10124755,9271040,1465307,414611,1268177,403527,"2733484	",818138
Mysore,26,11353892,25.92337758,0.07662242,3,0,5839899,5513993,659077,0,595335,0,1254412,0
Orrisa,20,8785519,20.05922959,-0.05922959,4,4,4580406,4205113,924334,931263,859326,844399,1783660,1775662
Punjab,22,10745652,24.53463484,-2.53463484,5,0,5874037,4871615,1306823,0,1075275,0,2382098,0
Rajasthan,22,10327596,23.58012307,-1.58012307,3,2,5373858,4953738,822739,217900,729309,226126,1552048,444026
Uttar Pradesh,86,36660759,83.70439829,2.29560171,18,0,20008182,16653666,3955896,0,3345096,0,7300992,0
West Bengal,36,18005635,41.1107376,-5.1107376,6,2,10200894,7804741,1624115,514388,1410307,434036,3034422,948424
Delhi,5,1345360,3.071746258,1.928253742,1,0,779655,565705,180068,0,128620,0,308688,0
Himachal Pradesh,4,711596,1.624726728,2.375273272,1,0,380473,331123,96516,0,79642,0,176158,0
Manipur,2,405210,0.925181588,1.074818412,0,1,199426,205784,0,94681,0,97604,0,192285
Tripura,2,480609,1.097333723,0.902666277,0,1,257200,223409,0,128773,0,110743,0,239516
TOTAL,494,216361569,494,0,79,30,113944234,93006052,17445038,5323171,15560518,5777862,30272072,12110683
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
