State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T,
Andhra Pradesh,42,33546487,45.35805515,-3.35805515,6,2,2442117,682891,16631513,2468150,722161,16914974,4910267,1405052,33546487
Arunachal Pradesh,2,319049,0.431384727,1.568615273,0,0,0,0,165511,0,0,153538,0,0,319049
Assam,14,10097661,13.65300231,0.34699769,1,2,358814,580000,5424293,318707,484607,4673368,677521,1064607,10097661
Bihar,54,43341090,58.60129409,-4.60129409,8,5,3409557,1691682,22758050,3083463,1628461,20583040,6493020,3320143,43341090
Goa Daman & Diu,2,586656,0.793214956,1.206785044,0,0,0,0,294908,0,0,291748,0,0,586656
Gujarat,26,18843760,25.47856368,0.52143632,2,4,704762,1401485,9532431,716355,1392265,9311329,1421117,2793750,18843760
Haryana,10,7725946,10.44621706,-0.44621706,2,0,804992,0,4142298,676565,0,3583648,1481557,0,7725946
Himachal Pradesh,4,2314024,3.128781508,0.871218492,1,0,297930,0,1147792,267249,0,1166232,565179,0,2314024
Jammu & Kashmir,6,3400010,4.597138326,1.402861674,0,0,0,0,1824779,0,0,1575231,0,0,3400010
Karnataka,28,21102484,28.5325743,-0.5325743,4,0,1473192,0,10736721,1434862,0,10365763,2908054,0,21102484
Kerala,20,14276072,19.30261315,0.69738685,2,0,668173,0,7049482,711055,0,7226590,1379228,0,14276072
Madhya Pradesh,40,28143638,38.05288716,1.94711284,6,9,2131717,2975645,14220851,2068922,3011710,13922787,4200639,5987355,28143638
Maharashtra,48,36359537,49.16156748,-1.16156748,3,4,1105288,1452005,18563534,1104893,1423584,17796003,2210181,2875589,36359537
Manipur,2,1014071,1.371120867,0.628879133,0,1,0,254070,512308,0,245900,501763,0,499970,1014071
Meghalaya,2,751283,1.015806387,0.984193613,0,0,0,0,375608,0,0,375675,0,0,751283
Mizoram,,,,,,,,,,,,,,,
Nagaland,1,594062,0.803228575,0.196771425,0,0,0,0,323275,0,0,270787,0,0,594062
Odisha,21,14943456,20.20498007,0.79501993,3,5,1127242,1695539,7740117,1061284,1618883,7203339,2188526,3314422,14943456
Punjab,13,10737064,14.51753625,-1.51753625,3,0,1397529,0,5885464,1151058,0,4851600,2548587,0,10737064
Rajasthan,25,20117285,27.20049114,-2.20049114,4,3,1660380,1145589,10419163,1509830,1108263,9698122,3170210,2253852,20117285
Sikkim,1,149256,0.201808371,0.798191629,0,0,0,0,80260,0,0,68996,0,0,149256
Tamil Nadu,39,30958080,41.85828161,-2.85828161,7,0,2666888,0,15631870,2646711,0,15326210,5313599,0,30958080
Tripura,2,1208967,1.634638878,0.365361122,0,1,0,299853,614782,0,287032,594185,0,586885,1208967
Uttar Pradesh,85,62335043,84.28293305,0.71706695,18,0,7276413,0,33886163,6089046,0,28448880,13365459,0,62335043
West Bengal,42,32955643,44.55917761,-2.55917761,8,2,3255950,773844,17586520,2985601,709304,15369123,6241551,1483148,32955643
Andaman & Nicobar,1,115565,0.15625492,0.84374508,0,0,0,0,68261,0,0,47304,0,0,115565
Chandigarh,1,229291,0.310023336,0.689976664,0,0,0,0,129736,0,0,99555,0,0,229291
Dadra & Nagar Haveli,1,54066,0.073102397,0.926897603,0,1,0,27020,27020,0,27046,27046,0,54066,54066
Delhi,7,3496781,4.727981962,2.272018038,1,0,176427,0,1934599,155201,0,1562182,331628,0,3496781
Lakshadweep,1,21964,0.029697426,0.970302574,0,1,0,11107,11107,0,10857,10857,0,21964,21964
Pondicherry,1,381366,0.515643264,0.484356736,0,0,0,0,194502,0,0,186864,0,0,381366
Total,541,400119657,541,0,75,38,29201028,12410730,196603161,26979187,12185466,182681771,56180215,24596196,379284932
