State/UT,Seats,Electors,Quota,Difference,SC,ST,SC_m,ST_m,male_t,SC_f,ST_f,female_t,SC_T,ST_T
Andhra Pradesh,42,57853045,43.88362736,-1.88362736,7,3,4769734,1745597,28684841,4846720,1833524,29207418,9616454,3579121
Arunachal Pradesh,2,732956,0.555973639,1.444026361,0,0,0,0,369664,0,0,364877,0,0
Assam,14,17443617,13.23161449,0.76838551,1,2,562597,1063855,9031095,506214,1007389,8439234,1068811,2071244
Bihar,40,54456401,41.30715002,-1.30715002,6,0,4360838,0,29220807,3764254,0,25284439,8125092,0
Goa,2,1019977,0.77368945,1.22631055,0,0,0,0,512475,1329934,0,508319,1329934,0
Gujarat,26,36466933,27.66148781,-1.66148781,2,4,1426760,2774355,18898387,1176625,2653232,17585894,2603385,5427587
Haryana,10,11998628,9.101393367,0.898606633,2,0,1397789,0,6590954,525757,0,5496756,1923546,0
Himachal Pradesh,4,4542914,3.445964601,0.554035399,1,0,580851,0,2348721,0,0,2257953,580851,0
Jammu & Kashmir,6,6534542,4.956686482,1.043313518,0,0,0,0,3421708,0,0,3151188,0,0
Karnataka,28,41757154,31.6743118,-3.6743118,5,2,3678834,1445845,21316482,3547458,1441739,20474457,7226292,2887584
Kerala,20,21799979,16.53607265,3.46392735,2,0,1074518,0,10528581,1169318,0,11330955,2243836,0
Madhya Pradesh,29,38059273,28.8693353,0.1306647,4,6,2738501,4027952,20183099,2386462,3771794,17902080,5124963,7799746
Maharashtra,48,72843918,55.2547468,-7.2547468,5,4,3829438,2900055,38160162,3519332,2796874,34793896,7348770,5696929
Manipur,2,1727517,1.310384134,0.689615866,0,1,0,444857,836499,0,464639,899752,0,909496
Meghalaya,2,1276758,0.968467127,1.031532873,0,2,0,629436,629436,0,648303,648303,0,1277739
Mizoram,1,626288,0.475062103,0.524937897,0,1,0,311147,311147,0,318227,318227,0,629374
Nagaland,1,1317729,0.999545113,0.000454887,0,1,0,676722,676722,0,645156,645156,0,1321878
Odisha,21,27160572,20.60227635,0.39772365,3,5,2125968,3068341,14075854,1928882,3052910,13119010,4054850,6121251
Punjab,13,16893349,12.8142163,0.1857837,4,0,2651083,0,8828996,2483639,0,8129384,5134722,0
Rajasthan,25,36965217,28.03945424,-3.03945424,4,3,3032468,2245462,19539361,2581025,2092465,17520650,5613493,4337927
Sikkim,1,300165,0.22768601,0.77231399,0,0,0,0,157362,0,0,143222,0,0
Tamil Nadu,39,41557979,31.52323036,7.47676964,7,0,3776316,0,20895322,3732214,0,20725138,7508530,0
Tripura,2,2079807,1.577608843,0.422391157,0,1,0,505117,1065706,0,483349,1016559,0,988466
Uttar Pradesh,80,115885992,87.9037169,-7.9037169,17,0,13644728,0,63394500,11323116,0,52611874,24967844,0
West Bengal,42,52426126,39.76711299,2.23288701,10,2,6653127,1273041,27567740,6085898,1197834,24925428,12739025,2470875
Chhattisgarh,11,15471253,11.73550505,-0.73550505,1,4,776245,2621078,7849788,742205,2608340,7626789,1518450,5229418
Jharkhand,14,17925999,13.59751868,0.40248132,1,5,754804,2669254,9484167,662571,2547040,8449928,1417375,5216294
Uttarakhand,5,5794398,4.395260485,0.604739515,1,0,518381,0,3037542,538998,0,2850182,1057379,0
Andaman & Nicobar,1,265036,0.201039393,0.798960607,0,0,0,0,141149,0,0,123959,0,0
Chandigarh,1,522650,0.396448931,0.603551069,0,0,0,0,291666,0,0,232778,0,0
Dadra & Nagar Haveli,1,150684,0.114299265,0.885700735,0,0,0,0,81061,0,0,69643,0,0
Daman & Diu,1,95372,0.072343112,0.927656888,0,0,0,0,48357,0,0,47025,0,0
Delhi,7,11092287,8.413900933,-1.413900933,1,0,1002670,0,6188875,795511,0,4907979,1798181,0
Lakshadweep,1,45936,0.034844118,0.965155882,0,1,0,23502,23502,0,22481,22481,0,45983
Puducherry,1,762028,0.578025803,0.421974197,0,0,0,0,367073,0,0,395367,0,0
Total,543,715852479,543,0,,,,,,,,,,
